,call_type,unit_type,latitude,longitude
6232,Alarms,CHIEF,37.778154438499996,-122.446874815
8161,Alarms,CHIEF,37.7812064711,-122.5036275123
1738,Alarms,TRUCK,37.7511571597,-122.44396837149999
8167,Alarms,CHIEF,37.7974647217,-122.4146678321
8168,Alarms,CHIEF,37.7527125371,-122.4095929121
1735,Alarms,TRUCK,37.7617420538,-122.4484553609
1734,Alarms,ENGINE,37.7791674219,-122.40634642559999
3580,Alarms,CHIEF,37.7788798213,-122.43356996360001
3582,Alarms,ENGINE,37.7788798213,-122.43356996360001
3583,Alarms,TRUCK,37.7783718576,-122.4342408374
8159,Alarms,TRUCK,37.7527125371,-122.4095929121
1721,Alarms,TRUCK,37.769637599999996,-122.4376111774
3563,Alarms,TRUCK,37.7454374721,-122.4368460103
3561,Alarms,CHIEF,37.7688930096,-122.42438060559999
3526,Alarms,ENGINE,37.7831634271,-122.4115992789
1812,Alarms,CHIEF,37.7236442721,-122.4545988592
6281,Alarms,CHIEF,37.7107646901,-122.39079280520001
3532,Alarms,CHIEF,37.7454374721,-122.4368460103
1805,Alarms,TRUCK,37.717513468,-122.4805945745
6276,Alarms,CHIEF,37.7218642112,-122.4429940702
1803,Alarms,CHIEF,37.73673251,-122.3805665589
6272,Alarms,ENGINE,37.7379604483,-122.44632163840001
3538,Alarms,ENGINE,37.783260386100004,-122.4183661542
8138,Alarms,ENGINE,37.7974647217,-122.4146678321
1796,Alarms,CHIEF,37.719145679099995,-122.44563492110001
8108,Alarms,ENGINE,37.710217410700004,-122.46695479450001
8110,Alarms,TRUCK,37.7642910155,-122.4186894167
6261,Alarms,CHIEF,37.7969760062,-122.4036809153
6258,Alarms,ENGINE,37.7734664897,-122.4135469042
8118,Alarms,ENGINE,37.7745856548,-122.4628133551
8130,Alarms,TRUCK,37.7840683016,-122.4602724965
1771,Alarms,CHIEF,37.7813778206,-122.4331620455
8134,Alarms,TRUCK,37.780445711700004,-122.4329734429
6245,Alarms,CHIEF,37.7914675529,-122.4132730801
8106,Alarms,CHIEF,37.7745856548,-122.4628133551
1719,Alarms,TRUCK,37.710155602600004,-122.412604289
3589,Alarms,ENGINE,37.7459562954,-122.4542399076
8184,Alarms,TRUCK,37.7915412094,-122.4485122967
8243,Alarms,ENGINE,37.7570337297,-122.476758437
3627,Alarms,TRUCK,37.7878246694,-122.3970324365
1658,Alarms,ENGINE,37.7675044596,-122.4289485676
1653,Alarms,ENGINE,37.777083464200004,-122.4169793264
8255,Alarms,RESCUE CAPTAIN,37.7812064711,-122.5036275123
6173,Alarms,ENGINE,37.718722285700004,-122.389118325
1650,Alarms,TRUCK,37.7632437604,-122.463106079
1648,Alarms,TRUCK,37.760410698499996,-122.4463434725
8261,Alarms,ENGINE,37.792515445999996,-122.40919800260001
3623,Alarms,CHIEF,37.783167663899995,-122.39782549530001
8264,Alarms,ENGINE,37.7915412094,-122.4485122967
8267,Alarms,CHIEF,37.7911511887,-122.4343618671
1639,Alarms,TRUCK,37.7825569563,-122.4163494282
1638,Alarms,CHIEF,37.7801242878,-122.44589358120001
8269,Alarms,TRUCK,37.7860371624,-122.4062128782
8277,Alarms,ENGINE,37.7442928065,-122.43909157899999
3649,Alarms,ENGINE,37.7834768404,-122.4124351407
6156,Alarms,TRUCK,37.7107646901,-122.39079280520001
1619,Alarms,ENGINE,37.7825569563,-122.4163494282
1618,Alarms,CHIEF,37.7738827775,-122.4427281702
8266,Alarms,TRUCK,37.7812064711,-122.5036275123
3622,Alarms,CHIEF,37.782448498200004,-122.41632744180001
1670,Alarms,ENGINE,37.8054460529,-122.4228419094
8236,Alarms,TRUCK,37.7500995811,-122.43389883100001
8189,Alarms,ENGINE,37.780445711700004,-122.4329734429
8192,Alarms,TRUCK,37.7953737061,-122.4082345385
1710,Alarms,CHIEF,37.7869521631,-122.44107182280001
3594,Alarms,TRUCK,37.7783718576,-122.4342408374
6211,Alarms,ENGINE,37.7969760062,-122.4036809153
6210,Alarms,TRUCK,37.779619239,-122.4310815684
8199,Alarms,ENGINE,37.7900697671,-122.40017317569999
1702,Alarms,ENGINE,37.7868117506,-122.40284972020001
1701,Alarms,TRUCK,37.7834768404,-122.4124351407
6206,Alarms,TRUCK,37.785685802399996,-122.4213933078
8201,Alarms,CHIEF,37.8003670398,-122.40171077129999
3602,Alarms,CHIEF,37.7911188031,-122.4167580058
3603,Alarms,TRUCK,37.784807388699996,-122.4136154383
3607,Alarms,CHIEF,37.7831634271,-122.4115992789
8217,Alarms,ENGINE,37.768462245900004,-122.4312048785
1684,Alarms,TRUCK,37.7825224183,-122.42327443100001
1683,Alarms,TRUCK,37.7738827775,-122.4427281702
8224,Alarms,CHIEF,37.7915412094,-122.4485122967
6193,Alarms,CHIEF,37.785685802399996,-122.4213933078
8232,Alarms,CHIEF,37.7953737061,-122.4082345385
3619,Alarms,TRUCK,37.784091036199996,-122.41178436950001
1604,Alarms,TRUCK,37.8054460529,-122.4228419094
5902,Alarms,ENGINE,37.784091036199996,-122.41178436950001
3883,Alarms,TRUCK,37.7911188031,-122.4167580058
1314,Alarms,CHIEF,37.760410698499996,-122.4463434725
9004,Alarms,TRUCK,37.7849108848,-122.4995145655
5612,Alarms,ENGINE,37.7780365108,-122.4154291009
5611,Alarms,CHIEF,37.7787978873,-122.42252070219999
4154,Alarms,TRUCK,37.786973316,-122.425845943
943,Alarms,CHIEF,37.7822906197,-122.4401194563
9018,Alarms,TRUCK,37.7893703539,-122.41453918239999
9021,Alarms,ENGINE,37.7758548588,-122.445614415
5603,Alarms,CHIEF,37.783263687,-122.4070511905
9024,Alarms,TRUCK,37.736962342800005,-122.41255341829999
9002,Alarms,ENGINE,37.7497416992,-122.4073956275
9025,Alarms,ENGINE,37.7834768404,-122.4124351407
5595,Alarms,CHIEF,37.7880205485,-122.42606156129999
925,Alarms,CHIEF,37.7890011524,-122.4011429398
4172,Alarms,ENGINE,37.786566734299996,-122.4072283818
5591,Alarms,TRUCK,37.786912692399994,-122.4097562235
4176,Alarms,CHIEF,37.7918843298,-122.409983572
912,Alarms,CHIEF,37.7825224183,-122.42327443100001
5581,Alarms,ENGINE,37.756857058,-122.40850627110001
9055,Alarms,CHIEF,37.7495570094,-122.4295304009
4187,Alarms,CHIEF,37.7940625557,-122.4083227882
5600,Alarms,TRUCK,37.798713995199996,-122.4096183311
901,Alarms,ENGINE,37.7833590027,-122.416694944
956,Alarms,ENGINE,37.760410698499996,-122.4463434725
5620,Alarms,TRUCK,37.783263687,-122.4070511905
1014,Alarms,CHIEF,37.7753725574,-122.48432420799999
5657,Alarms,CHIEF,37.7733890023,-122.41364500280001
1011,Alarms,CHIEF,37.7828450345,-122.4132217667
8944,Alarms,ENGINE,37.7889450363,-122.4262522617
8945,Alarms,ENGINE,37.7857367879,-122.3891243644
