,call_type,latitude,longitude
1227,Alarms,37.7728829828,-122.39227179209999
1242,Alarms,37.7728829828,-122.39227179209999
1249,Alarms,37.778639592,-122.41012084100001
1277,Alarms,37.7752362231,-122.41440629479999
1286,Alarms,37.7857402819,-122.4138042679
1293,Alarms,37.7675044596,-122.4289485676
1301,Alarms,37.7918853863,-122.3933412235
1304,Alarms,37.7857402819,-122.4138042679
1308,Alarms,37.7133177844,-122.4728758613
1314,Alarms,37.760410698499996,-122.4463434725
1318,Alarms,37.7886352752,-122.4169903426
1323,Alarms,37.7828450345,-122.4132217667
1330,Alarms,37.7679576263,-122.40374766149999
1333,Alarms,37.7833590027,-122.416694944
1343,Alarms,37.777083464200004,-122.4169793264
1365,Alarms,37.8054460529,-122.4228419094
1372,Alarms,37.7753725574,-122.48432420799999
1375,Alarms,37.7842816169,-122.40461464719999
1376,Alarms,37.7753725574,-122.48432420799999
1377,Alarms,37.7106489932,-122.4124688013
1385,Alarms,37.7675044596,-122.4289485676
1400,Alarms,37.7825569563,-122.4163494282
1409,Alarms,37.7190118677,-122.48045074950001
1411,Alarms,37.7801242878,-122.44589358120001
1421,Alarms,37.7753725574,-122.48432420799999
1436,Alarms,37.7822906197,-122.4401194563
1456,Alarms,37.7886352752,-122.4169903426
1459,Alarms,37.7106489932,-122.4124688013
1462,Alarms,37.7918853863,-122.3933412235
1474,Alarms,37.7738827775,-122.4427281702
1480,Alarms,37.7886352752,-122.4169903426
1486,Alarms,37.7679576263,-122.40374766149999
1500,Alarms,37.7133177844,-122.4728758613
1509,Alarms,37.7842816169,-122.40461464719999
1511,Alarms,37.7358508297,-122.5030619598
1515,Alarms,37.7828450345,-122.4132217667
1548,Alarms,37.7358508297,-122.5030619598
1561,Alarms,37.7738827775,-122.4427281702
1571,Alarms,37.7106489932,-122.4124688013
1574,Alarms,37.7890011524,-122.4011429398
1578,Alarms,37.7190118677,-122.48045074950001
1589,Alarms,37.7133177844,-122.4728758613
1604,Alarms,37.8054460529,-122.4228419094
1607,Alarms,37.8222647104,-122.3680441341
