,call_type,latitude,longitude
1041,Structure Fire,37.7403329887,-122.46644858239999
1044,Structure Fire,37.7878721677,-122.4116992333
1045,Structure Fire,37.7655967523,-122.4477975209
1050,Structure Fire,37.738239292399996,-122.5000577788
1051,Structure Fire,37.738239292399996,-122.5000577788
1066,Structure Fire,37.7717364636,-122.4236734117
1069,Structure Fire,37.7857402819,-122.4138042679
1071,Structure Fire,37.7857402819,-122.4138042679
1078,Structure Fire,37.7334230297,-122.482013815
1080,Structure Fire,37.7697978509,-122.4485788148
1081,Structure Fire,37.7403329887,-122.46644858239999
1085,Structure Fire,37.7857402819,-122.4138042679
1086,Structure Fire,37.7726948237,-122.4221882614
1095,Structure Fire,37.7403329887,-122.46644858239999
1096,Structure Fire,37.7717364636,-122.4236734117
1101,Structure Fire,37.7403329887,-122.46644858239999
1116,Structure Fire,37.7403329887,-122.46644858239999
1135,Structure Fire,37.7403329887,-122.46644858239999
1136,Structure Fire,37.7726948237,-122.4221882614
1141,Structure Fire,37.7650513382,-122.41966897389999
1167,Structure Fire,37.738239292399996,-122.5000577788
1170,Structure Fire,37.7403329887,-122.46644858239999
1177,Structure Fire,37.7403329887,-122.46644858239999
1179,Structure Fire,37.7334230297,-122.482013815
1185,Structure Fire,37.7403329887,-122.46644858239999
1187,Structure Fire,37.7403329887,-122.46644858239999
1189,Structure Fire,37.7403329887,-122.46644858239999
1193,Structure Fire,37.7717364636,-122.4236734117
1198,Structure Fire,37.7403329887,-122.46644858239999
1215,Structure Fire,37.7726948237,-122.4221882614
1216,Structure Fire,37.7403329887,-122.46644858239999
1217,Structure Fire,37.7655967523,-122.4477975209
1224,Structure Fire,37.7790321327,-122.40184327440001
1233,Structure Fire,37.781595587199995,-122.4121906699
1237,Structure Fire,37.7334230297,-122.482013815
1239,Structure Fire,37.7921084009,-122.4009330839
1240,Structure Fire,37.7726948237,-122.4221882614
1241,Structure Fire,37.7717364636,-122.4236734117
1246,Structure Fire,37.7403329887,-122.46644858239999
1247,Structure Fire,37.7113797074,-122.45034108440001
1251,Structure Fire,37.7726948237,-122.4221882614
1254,Structure Fire,37.7403329887,-122.46644858239999
1265,Structure Fire,37.7655967523,-122.4477975209
1269,Structure Fire,37.7403329887,-122.46644858239999
1273,Structure Fire,37.7857402819,-122.4138042679
1296,Structure Fire,37.7689033402,-122.45183913870001
1306,Structure Fire,37.7655967523,-122.4477975209
1312,Structure Fire,37.738239292399996,-122.5000577788
1315,Structure Fire,37.7403329887,-122.46644858239999
1331,Structure Fire,37.781595587199995,-122.4121906699
1334,Structure Fire,37.795312940900004,-122.3979747506
1340,Structure Fire,37.7726948237,-122.4221882614
1345,Structure Fire,37.7740433259,-122.41436769219999
1348,Structure Fire,37.7877942875,-122.4035297284
1351,Structure Fire,37.7689033402,-122.45183913870001
1356,Structure Fire,37.7717364636,-122.4236734117
1389,Structure Fire,37.7717364636,-122.4236734117
1390,Structure Fire,37.7113797074,-122.45034108440001
1395,Structure Fire,37.7857402819,-122.4138042679
1401,Structure Fire,37.7403329887,-122.46644858239999
1403,Structure Fire,37.7726948237,-122.4221882614
1405,Structure Fire,37.7857402819,-122.4138042679
1412,Structure Fire,37.7403329887,-122.46644858239999
1415,Structure Fire,37.7698769654,-122.4204257463
1417,Structure Fire,37.781595587199995,-122.4121906699
1423,Structure Fire,37.738239292399996,-122.5000577788
1425,Structure Fire,37.738239292399996,-122.5000577788
1426,Structure Fire,37.7689033402,-122.45183913870001
1434,Structure Fire,37.7403329887,-122.46644858239999
1435,Structure Fire,37.7857402819,-122.4138042679
1439,Structure Fire,37.7655967523,-122.4477975209
1451,Structure Fire,37.7655967523,-122.4477975209
1452,Structure Fire,37.7655967523,-122.4477975209
1463,Structure Fire,37.7740433259,-122.41436769219999
1468,Structure Fire,37.738239292399996,-122.5000577788
1475,Structure Fire,37.7403329887,-122.46644858239999
1479,Structure Fire,37.7790321327,-122.40184327440001
1488,Structure Fire,37.7451009984,-122.39218234129999
1490,Structure Fire,37.7403329887,-122.46644858239999
1496,Structure Fire,37.7334230297,-122.482013815
1497,Structure Fire,37.7403329887,-122.46644858239999
1501,Structure Fire,37.7857402819,-122.4138042679
1510,Structure Fire,37.7698769654,-122.4204257463
1520,Structure Fire,37.781595587199995,-122.4121906699
1525,Structure Fire,37.738239292399996,-122.5000577788
1526,Structure Fire,37.781595587199995,-122.4121906699
1529,Structure Fire,37.7689033402,-122.45183913870001
1535,Structure Fire,37.7857402819,-122.4138042679
1543,Structure Fire,37.7650513382,-122.41966897389999
1550,Structure Fire,37.7655967523,-122.4477975209
1555,Structure Fire,37.7689033402,-122.45183913870001
1563,Structure Fire,37.7877942875,-122.4035297284
1564,Structure Fire,37.7726948237,-122.4221882614
1567,Structure Fire,37.7921084009,-122.4009330839
1573,Structure Fire,37.7726948237,-122.4221882614
1575,Structure Fire,37.7655967523,-122.4477975209
1576,Structure Fire,37.738239292399996,-122.5000577788
1577,Structure Fire,37.7403329887,-122.46644858239999
1583,Structure Fire,37.7113797074,-122.45034108440001
1588,Structure Fire,37.7403329887,-122.46644858239999
1590,Structure Fire,37.7978223016,-122.4070161645
1591,Structure Fire,37.7403329887,-122.46644858239999
1594,Structure Fire,37.795312940900004,-122.3979747506
1601,Structure Fire,37.7334230297,-122.482013815
1605,Structure Fire,37.7334230297,-122.482013815
1606,Structure Fire,37.781595587199995,-122.4121906699
1613,Structure Fire,37.7403329887,-122.46644858239999
1628,Structure Fire,37.7113797074,-122.45034108440001
1631,Structure Fire,37.7655967523,-122.4477975209
1635,Structure Fire,37.7689033402,-122.45183913870001
1637,Structure Fire,37.7334230297,-122.482013815
1649,Structure Fire,37.7740433259,-122.41436769219999
1651,Structure Fire,37.7403329887,-122.46644858239999
1667,Structure Fire,37.7113797074,-122.45034108440001
1668,Structure Fire,37.738239292399996,-122.5000577788
1671,Structure Fire,37.7334230297,-122.482013815
1672,Structure Fire,37.7878721677,-122.4116992333
1673,Structure Fire,37.7726948237,-122.4221882614
1674,Structure Fire,37.7403329887,-122.46644858239999
1676,Structure Fire,37.7334230297,-122.482013815
1677,Structure Fire,37.7403329887,-122.46644858239999
1679,Structure Fire,37.7689033402,-122.45183913870001
1681,Structure Fire,37.7857402819,-122.4138042679
1682,Structure Fire,37.7717364636,-122.4236734117
1686,Structure Fire,37.7403329887,-122.46644858239999
1689,Structure Fire,37.7403329887,-122.46644858239999
1690,Structure Fire,37.7717364636,-122.4236734117
1704,Structure Fire,37.7910283417,-122.420848621
1725,Structure Fire,37.7921084009,-122.4009330839
1733,Structure Fire,37.795312940900004,-122.3979747506
1739,Structure Fire,37.789016335599996,-122.4102424393
1745,Structure Fire,37.7910283417,-122.420848621
1764,Structure Fire,37.726236245,-122.4336235923
1773,Structure Fire,37.7877867423,-122.40307088680001
1782,Structure Fire,37.7842056749,-122.4076127318
1800,Structure Fire,37.7740433259,-122.41436769219999
1802,Structure Fire,37.789016335599996,-122.4102424393
1815,Structure Fire,37.7601012943,-122.4214252126
1821,Structure Fire,37.7868468973,-122.4620125818
1825,Structure Fire,37.7910283417,-122.420848621
1827,Structure Fire,37.7877942875,-122.4035297284
1833,Structure Fire,37.7910283417,-122.420848621
1837,Structure Fire,37.7877867423,-122.40307088680001
1841,Structure Fire,37.7257265963,-122.432419861
1859,Structure Fire,37.7697978509,-122.4485788148
1874,Structure Fire,37.7868468973,-122.4620125818
1888,Structure Fire,37.7921084009,-122.4009330839
1890,Structure Fire,37.7842056749,-122.4076127318
1903,Structure Fire,37.7740433259,-122.41436769219999
1957,Structure Fire,37.7257265963,-122.432419861
1959,Structure Fire,37.7921084009,-122.4009330839
1965,Structure Fire,37.7910283417,-122.420848621
1967,Structure Fire,37.7257265963,-122.432419861
1991,Structure Fire,37.7842056749,-122.4076127318
1992,Structure Fire,37.796703902800004,-122.4084308882
1997,Structure Fire,37.7877867423,-122.40307088680001
2002,Structure Fire,37.796703902800004,-122.4084308882
2005,Structure Fire,37.7910283417,-122.420848621
2008,Structure Fire,37.7790321327,-122.40184327440001
2021,Structure Fire,37.7877942875,-122.4035297284
2033,Structure Fire,37.7910283417,-122.420848621
2122,Structure Fire,37.7842056749,-122.4076127318
2134,Structure Fire,37.795312940900004,-122.3979747506
2145,Structure Fire,37.795312940900004,-122.3979747506
2183,Structure Fire,37.786409613800004,-122.40803623629999
2185,Structure Fire,37.7790321327,-122.40184327440001
2186,Structure Fire,37.7910283417,-122.420848621
2203,Structure Fire,37.795312940900004,-122.3979747506
2222,Structure Fire,37.7697978509,-122.4485788148
2232,Structure Fire,37.7877942875,-122.4035297284
2246,Structure Fire,37.7842056749,-122.4076127318
2265,Structure Fire,37.7842056749,-122.4076127318
2296,Structure Fire,37.7601012943,-122.4214252126
2298,Structure Fire,37.7842056749,-122.4076127318
2310,Structure Fire,37.786409613800004,-122.40803623629999
2320,Structure Fire,37.7842056749,-122.4076127318
2336,Structure Fire,37.7921084009,-122.4009330839
2351,Structure Fire,37.7877942875,-122.4035297284
2354,Structure Fire,37.786409613800004,-122.40803623629999
2360,Structure Fire,37.7877867423,-122.40307088680001
2382,Structure Fire,37.7806811029,-122.4717754585
2383,Structure Fire,37.7877867423,-122.40307088680001
2384,Structure Fire,37.7806811029,-122.4717754585
2388,Structure Fire,37.726236245,-122.4336235923
2400,Structure Fire,37.7842056749,-122.4076127318
2403,Structure Fire,37.7877867423,-122.40307088680001
2408,Structure Fire,37.7842056749,-122.4076127318
2419,Structure Fire,37.7910283417,-122.420848621
2468,Structure Fire,37.7877942875,-122.4035297284
2482,Structure Fire,37.7842056749,-122.4076127318
2483,Structure Fire,37.7877942875,-122.4035297284
2497,Structure Fire,37.7868468973,-122.4620125818
2500,Structure Fire,37.7877867423,-122.40307088680001
2510,Structure Fire,37.7910283417,-122.420848621
2511,Structure Fire,37.786409613800004,-122.40803623629999
2535,Structure Fire,37.8044072929,-122.4133588631
2555,Structure Fire,37.766428605,-122.45210996360001
2558,Structure Fire,37.805310937899996,-122.4126983591
2574,Structure Fire,37.766428605,-122.45210996360001
2581,Structure Fire,37.7848662437,-122.4127821283
2610,Structure Fire,37.7848662437,-122.4127821283
2621,Structure Fire,37.786409613800004,-122.40803623629999
2623,Structure Fire,37.7537685477,-122.48718301209999
2628,Structure Fire,37.7944797173,-122.3947475803
2649,Structure Fire,37.8044072929,-122.4133588631
2661,Structure Fire,37.805310937899996,-122.4126983591
2673,Structure Fire,37.795312940900004,-122.3979747506
2683,Structure Fire,37.7537685477,-122.48718301209999
2695,Structure Fire,37.805310937899996,-122.4126983591
2700,Structure Fire,37.805310937899996,-122.4126983591
2707,Structure Fire,37.786409613800004,-122.40803623629999
2714,Structure Fire,37.7848662437,-122.4127821283
2740,Structure Fire,37.7848662437,-122.4127821283
2747,Structure Fire,37.8044072929,-122.4133588631
2765,Structure Fire,37.8044072929,-122.4133588631
2772,Structure Fire,37.8044072929,-122.4133588631
2786,Structure Fire,37.786409613800004,-122.40803623629999
2788,Structure Fire,37.766428605,-122.45210996360001
2793,Structure Fire,37.7848662437,-122.4127821283
2802,Structure Fire,37.786409613800004,-122.40803623629999
2823,Structure Fire,37.766428605,-122.45210996360001
2837,Structure Fire,37.795312940900004,-122.3979747506
2865,Structure Fire,37.766428605,-122.45210996360001
2870,Structure Fire,37.8044072929,-122.4133588631
2923,Structure Fire,37.766428605,-122.45210996360001
2950,Structure Fire,37.7848662437,-122.4127821283
2957,Structure Fire,37.766428605,-122.45210996360001
2962,Structure Fire,37.805310937899996,-122.4126983591
2992,Structure Fire,37.7848662437,-122.4127821283
2996,Structure Fire,37.726236245,-122.4336235923
3017,Structure Fire,37.786409613800004,-122.40803623629999
3021,Structure Fire,37.786409613800004,-122.40803623629999
3031,Structure Fire,37.786409613800004,-122.40803623629999
3035,Structure Fire,37.8044072929,-122.4133588631
3048,Structure Fire,37.8044072929,-122.4133588631
3051,Structure Fire,37.726236245,-122.4336235923
3057,Structure Fire,37.7848662437,-122.4127821283
3079,Structure Fire,37.805310937899996,-122.4126983591
3080,Structure Fire,37.8044072929,-122.4133588631
3088,Structure Fire,37.8044072929,-122.4133588631
3089,Structure Fire,37.766428605,-122.45210996360001
3099,Structure Fire,37.7848662437,-122.4127821283
3151,Structure Fire,37.786409613800004,-122.40803623629999
3166,Structure Fire,37.805310937899996,-122.4126983591
3210,Structure Fire,37.7848662437,-122.4127821283
3213,Structure Fire,37.766428605,-122.45210996360001
3226,Structure Fire,37.7944797173,-122.3947475803
3256,Structure Fire,37.805310937899996,-122.4126983591
3261,Structure Fire,37.805310937899996,-122.4126983591
3272,Structure Fire,37.805310937899996,-122.4126983591
3287,Structure Fire,37.786409613800004,-122.40803623629999
3289,Structure Fire,37.766428605,-122.45210996360001
3290,Structure Fire,37.766428605,-122.45210996360001
3293,Structure Fire,37.7852197348,-122.40667465899999
3303,Structure Fire,37.783730040900004,-122.41375367049999
3305,Structure Fire,37.804281564,-122.41710095040001
3307,Structure Fire,37.783730040900004,-122.41375367049999
3315,Structure Fire,37.7852197348,-122.40667465899999
3317,Structure Fire,37.7501075459,-122.4137792289
3319,Structure Fire,37.759027747800005,-122.4391673085
3350,Structure Fire,37.783730040900004,-122.41375367049999
3353,Structure Fire,37.750903790100004,-122.4339790692
3364,Structure Fire,37.7501075459,-122.4137792289
3371,Structure Fire,37.7852197348,-122.40667465899999
3375,Structure Fire,37.7852197348,-122.40667465899999
3376,Structure Fire,37.7501075459,-122.4137792289
3386,Structure Fire,37.774125100300004,-122.41881021180001
3393,Structure Fire,37.7850617371,-122.4264301277
3402,Structure Fire,37.750903790100004,-122.4339790692
3440,Structure Fire,37.759027747800005,-122.4391673085
3455,Structure Fire,37.7501075459,-122.4137792289
3480,Structure Fire,37.750903790100004,-122.4339790692
3482,Structure Fire,37.7850617371,-122.4264301277
3502,Structure Fire,37.783287852,-122.4089521601
3514,Structure Fire,37.781199994,-122.4303648882
3518,Structure Fire,37.783730040900004,-122.41375367049999
3527,Structure Fire,37.7921084009,-122.4009330839
3547,Structure Fire,37.804281564,-122.41710095040001
3553,Structure Fire,37.7850617371,-122.4264301277
3555,Structure Fire,37.783828604200004,-122.4394666824
3559,Structure Fire,37.781199994,-122.4303648882
3591,Structure Fire,37.7501075459,-122.4137792289
3596,Structure Fire,37.7852197348,-122.40667465899999
3609,Structure Fire,37.783730040900004,-122.41375367049999
3611,Structure Fire,37.786409613800004,-122.40803623629999
3614,Structure Fire,37.774125100300004,-122.41881021180001
3631,Structure Fire,37.783287852,-122.4089521601
3641,Structure Fire,37.750903790100004,-122.4339790692
3642,Structure Fire,37.781199994,-122.4303648882
3645,Structure Fire,37.783287852,-122.4089521601
3655,Structure Fire,37.750903790100004,-122.4339790692
3656,Structure Fire,37.7850617371,-122.4264301277
3659,Structure Fire,37.7921084009,-122.4009330839
3661,Structure Fire,37.7850617371,-122.4264301277
3670,Structure Fire,37.774125100300004,-122.41881021180001
3673,Structure Fire,37.804281564,-122.41710095040001
3685,Structure Fire,37.783730040900004,-122.41375367049999
3691,Structure Fire,37.7501075459,-122.4137792289
3711,Structure Fire,37.7852197348,-122.40667465899999
3733,Structure Fire,37.7852197348,-122.40667465899999
3741,Structure Fire,37.786409613800004,-122.40803623629999
3744,Structure Fire,37.759027747800005,-122.4391673085
3768,Structure Fire,37.7852197348,-122.40667465899999
3787,Structure Fire,37.7501075459,-122.4137792289
3800,Structure Fire,37.781904293400004,-122.4173105329
3813,Structure Fire,37.783287852,-122.4089521601
3818,Structure Fire,37.7820569373,-122.4273963973
3826,Structure Fire,37.750903790100004,-122.4339790692
3839,Structure Fire,37.804281564,-122.41710095040001
3845,Structure Fire,37.783730040900004,-122.41375367049999
3848,Structure Fire,37.783828604200004,-122.4394666824
3852,Structure Fire,37.804281564,-122.41710095040001
3857,Structure Fire,37.750903790100004,-122.4339790692
