,call_type,unit_type,latitude,longitude
8967,Citizen Assist / Service Call,TRUCK,37.7668455692,-122.42999958989999
5518,Citizen Assist / Service Call,MEDIC,37.7261532099,-122.4374330494
1028,Citizen Assist / Service Call,MEDIC,37.7621357066,-122.4216894269
940,Citizen Assist / Service Call,ENGINE,37.7867215798,-122.46361794200001
9101,Citizen Assist / Service Call,ENGINE,37.7843964931,-122.41690045989999
5580,Citizen Assist / Service Call,TRUCK,37.7731448012,-122.3914729341
7099,Citizen Assist / Service Call,ENGINE,37.7798119295,-122.43375856969999
2617,Citizen Assist / Service Call,TRUCK,37.7535461761,-122.39721183639999
2689,Citizen Assist / Service Call,TRUCK,37.831562091900004,-122.3733302221
7234,Citizen Assist / Service Call,TRUCK,37.7860048266,-122.39507725879999
9016,Citizen Assist / Service Call,ENGINE,37.7767905851,-122.4942408331
8915,Citizen Assist / Service Call,PRIVATE,37.7842993825,-122.41014131989999
4873,Citizen Assist / Service Call,TRUCK,37.7905865694,-122.3998774808
7163,Citizen Assist / Service Call,TRUCK,37.7894120602,-122.42213520920001
9123,Citizen Assist / Service Call,ENGINE,37.7429555725,-122.47783624190001
2945,Citizen Assist / Service Call,ENGINE,37.727733468400004,-122.3932327879
8982,Citizen Assist / Service Call,ENGINE,37.7842993825,-122.41014131989999
903,Citizen Assist / Service Call,MEDIC,37.7939455886,-122.4154347138
2886,Citizen Assist / Service Call,ENGINE,37.7817321023,-122.46976759530001
2647,Citizen Assist / Service Call,MEDIC,37.7900741941,-122.43569277299999
8942,Citizen Assist / Service Call,TRUCK,37.797795056,-122.4145841899
2775,Citizen Assist / Service Call,ENGINE,37.7680736054,-122.41242418379998
2677,Citizen Assist / Service Call,TRUCK,37.7978877416,-122.4104281883
6992,Citizen Assist / Service Call,TRUCK,37.7354735933,-122.49873334549999
4883,Citizen Assist / Service Call,TRUCK,37.756330274899994,-122.39556536010001
2968,Citizen Assist / Service Call,ENGINE,37.7535461761,-122.39721183639999
2586,Citizen Assist / Service Call,ENGINE,37.7589078873,-122.47660669
5713,Citizen Assist / Service Call,TRUCK,37.808263316,-122.41497254209999
9044,Citizen Assist / Service Call,ENGINE,37.712264666399996,-122.47293243799999
5652,Citizen Assist / Service Call,TRUCK,37.7837176369,-122.4378479423
880,Electrical Hazard,ENGINE,37.7622504081,-122.48570271700001
5866,Electrical Hazard,ENGINE,37.786981043699996,-122.43000532229999
5093,Electrical Hazard,ENGINE,37.7796596292,-122.4387401823
4886,Electrical Hazard,ENGINE,37.7348171813,-122.4165020765
1622,Electrical Hazard,ENGINE,37.7872816258,-122.4309798007
7720,Electrical Hazard,ENGINE,37.7721082582,-122.4304339203
2131,Electrical Hazard,ENGINE,37.7362193709,-122.3797661108
139,Electrical Hazard,ENGINE,37.7360599452,-122.492331865
6590,Electrical Hazard,ENGINE,37.7153417411,-122.4589814397
7136,Electrical Hazard,ENGINE,37.788067164299996,-122.4404401123
3165,Electrical Hazard,ENGINE,37.7364202484,-122.4457109419
7245,Electrical Hazard,ENGINE,37.7122471302,-122.40422707120001
4393,Electrical Hazard,ENGINE,37.7190598256,-122.38465573059999
1007,Electrical Hazard,ENGINE,37.7872816258,-122.4309798007
4664,Electrical Hazard,ENGINE,37.7478492011,-122.4236193153
6374,Electrical Hazard,ENGINE,37.7721082582,-122.4304339203
2534,Electrical Hazard,ENGINE,37.7823212336,-122.4257633038
5981,Electrical Hazard,ENGINE,37.789016335599996,-122.4102424393
1120,Electrical Hazard,ENGINE,37.7733883648,-122.5084270231
6824,Electrical Hazard,ENGINE,37.7874381647,-122.445402197
6357,Electrical Hazard,ENGINE,37.715619305,-122.46261521219999
9609,Elevator / Escalator Rescue,TRUCK,37.7899091347,-122.4069758878
1924,Elevator / Escalator Rescue,TRUCK,37.7849996427,-122.4210922819
8700,Elevator / Escalator Rescue,TRUCK,37.784916184400004,-122.41195004219999
8491,Elevator / Escalator Rescue,TRUCK,37.7740926787,-122.441084426
8852,Elevator / Escalator Rescue,TRUCK,37.7909350075,-122.41822349459999
3056,Elevator / Escalator Rescue,TRUCK,37.7751470742,-122.4192556072
2913,Elevator / Escalator Rescue,TRUCK,37.7875044953,-122.4141636931
8818,Elevator / Escalator Rescue,MEDIC,37.784916184400004,-122.41195004219999
2274,Elevator / Escalator Rescue,TRUCK,37.7209451616,-122.47827820629999
7107,Elevator / Escalator Rescue,TRUCK,37.7876971552,-122.4429204798
986,Elevator / Escalator Rescue,TRUCK,37.7892825039,-122.4119124401
8422,Elevator / Escalator Rescue,TRUCK,37.793716564200004,-122.43227948030001
8863,Elevator / Escalator Rescue,TRUCK,37.7863607915,-122.4156169002
6680,Elevator / Escalator Rescue,TRUCK,37.7903482823,-122.4516669933
1851,Elevator / Escalator Rescue,TRUCK,37.7933243681,-122.4027937497
6681,Elevator / Escalator Rescue,TRUCK,37.7830549682,-122.4115772993
8502,Elevator / Escalator Rescue,TRUCK,37.7764944809,-122.4113591384
8627,Elevator / Escalator Rescue,ENGINE,37.7664544117,-122.3973856982
4953,Elevator / Escalator Rescue,TRUCK,37.7891752138,-122.4094296831
7429,Elevator / Escalator Rescue,TRUCK,37.8045420637,-122.43369728309999
760,Elevator / Escalator Rescue,TRUCK,37.7840380799,-122.4264242675
8508,Elevator / Escalator Rescue,TRUCK,37.7826256736,-122.4341877551
4081,Elevator / Escalator Rescue,TRUCK,37.7664544117,-122.3973856982
3019,Fuel Spill,ENGINE,37.7885381694,-122.43629642709999
3189,Fuel Spill,TRUCK,37.7885381694,-122.43629642709999
4838,Fuel Spill,CHIEF,37.7467657464,-122.4224801858
6071,Fuel Spill,ENGINE,37.769503263000004,-122.45045260059999
2843,Fuel Spill,CHIEF,37.7885381694,-122.43629642709999
7513,Fuel Spill,ENGINE,37.7395662733,-122.40697858520001
4747,Fuel Spill,ENGINE,37.7467657464,-122.4224801858
199,Fuel Spill,ENGINE,37.7348682781,-122.4110519658
4446,Fuel Spill,TRUCK,37.7467657464,-122.4224801858
7486,Fuel Spill,ENGINE,37.7780207608,-122.4215206994
3615,Gas Leak (Natural and LP Gases),ENGINE,37.7910048907,-122.40719248479999
8515,Gas Leak (Natural and LP Gases),CHIEF,37.736412253299996,-122.3829196463
7104,Gas Leak (Natural and LP Gases),CHIEF,37.7634783321,-122.41301975370001
8964,Gas Leak (Natural and LP Gases),ENGINE,37.736412253299996,-122.3829196463
2071,Gas Leak (Natural and LP Gases),CHIEF,37.773366013,-122.4501388865
432,Gas Leak (Natural and LP Gases),CHIEF,37.7575453555,-122.4730003389
413,Gas Leak (Natural and LP Gases),CHIEF,37.7768495726,-122.4213512461
2038,Gas Leak (Natural and LP Gases),TRUCK,37.7872771546,-122.4168251998
1727,Gas Leak (Natural and LP Gases),CHIEF,37.7872771546,-122.4168251998
1818,Gas Leak (Natural and LP Gases),ENGINE,37.773366013,-122.4501388865
409,Gas Leak (Natural and LP Gases),ENGINE,37.7246523794,-122.4022886497
7074,Gas Leak (Natural and LP Gases),CHIEF,37.7634783321,-122.41301975370001
6729,Gas Leak (Natural and LP Gases),TRUCK,37.7980627796,-122.4240584244
6488,Gas Leak (Natural and LP Gases),CHIEF,37.7990040268,-122.44179524120001
8068,Gas Leak (Natural and LP Gases),ENGINE,37.75936549,-122.4069468747
185,Gas Leak (Natural and LP Gases),TRUCK,37.7575453555,-122.4730003389
1757,Gas Leak (Natural and LP Gases),CHIEF,37.792953087,-122.40153107530001
5945,Gas Leak (Natural and LP Gases),CHIEF,37.7323423525,-122.3862803814
6426,Gas Leak (Natural and LP Gases),ENGINE,37.7323423525,-122.3862803814
3601,Gas Leak (Natural and LP Gases),TRUCK,37.7936758447,-122.4255256608
6205,Gas Leak (Natural and LP Gases),ENGINE,37.7272864567,-122.3699542919
2069,Gas Leak (Natural and LP Gases),MEDIC,37.7872771546,-122.4168251998
6497,Gas Leak (Natural and LP Gases),ENGINE,37.7990040268,-122.44179524120001
6191,Gas Leak (Natural and LP Gases),TRUCK,37.7576216128,-122.4100626499
6502,Gas Leak (Natural and LP Gases),ENGINE,37.717223054,-122.39114994389999
1062,Gas Leak (Natural and LP Gases),ENGINE,37.7792826279,-122.4598603722
2088,Gas Leak (Natural and LP Gases),ENGINE,37.792953087,-122.40153107530001
9767,Gas Leak (Natural and LP Gases),ENGINE,37.7935066494,-122.4339220481
9545,Gas Leak (Natural and LP Gases),ENGINE,37.7696025973,-122.4263094393
2407,Gas Leak (Natural and LP Gases),ENGINE,37.7872771546,-122.4168251998
2938,Gas Leak (Natural and LP Gases),CHIEF,37.7799336919,-122.4286140223
7531,Gas Leak (Natural and LP Gases),ENGINE,37.7601012943,-122.4214252126
2409,Gas Leak (Natural and LP Gases),TRUCK,37.792953087,-122.40153107530001
5997,Gas Leak (Natural and LP Gases),TRUCK,37.7990040268,-122.44179524120001
857,Gas Leak (Natural and LP Gases),CHIEF,37.737270888299996,-122.3982636647
5893,Gas Leak (Natural and LP Gases),CHIEF,37.717223054,-122.39114994389999
1054,Gas Leak (Natural and LP Gases),CHIEF,37.8052602625,-122.4160538319
5891,Gas Leak (Natural and LP Gases),TRUCK,37.717223054,-122.39114994389999
8089,Gas Leak (Natural and LP Gases),ENGINE,37.7659837506,-122.4321519074
4136,Gas Leak (Natural and LP Gases),ENGINE,37.7548096282,-122.4282874353
6200,Gas Leak (Natural and LP Gases),ENGINE,37.7576216128,-122.4100626499
5954,Gas Leak (Natural and LP Gases),CHIEF,37.7576216128,-122.4100626499
2850,Gas Leak (Natural and LP Gases),TRUCK,37.7799336919,-122.4286140223
6602,Gas Leak (Natural and LP Gases),TRUCK,37.8078921321,-122.4106850512
6966,Gas Leak (Natural and LP Gases),MEDIC,37.7980627796,-122.4240584244
7643,Gas Leak (Natural and LP Gases),ENGINE,37.7490658212,-122.3864279303
7171,Gas Leak (Natural and LP Gases),TRUCK,37.7634783321,-122.41301975370001
7042,Gas Leak (Natural and LP Gases),CHIEF,37.767809322199994,-122.44919570260001
784,Gas Leak (Natural and LP Gases),ENGINE,37.7618276409,-122.39833071780001
3281,Gas Leak (Natural and LP Gases),CHIEF,37.709838464099995,-122.4105602121
129,Gas Leak (Natural and LP Gases),CHIEF,37.7618276409,-122.39833071780001
3280,Gas Leak (Natural and LP Gases),TRUCK,37.709838464099995,-122.4105602121
6765,Gas Leak (Natural and LP Gases),ENGINE,37.7980627796,-122.4240584244
3461,Gas Leak (Natural and LP Gases),ENGINE,37.7936758447,-122.4255256608
7026,Gas Leak (Natural and LP Gases),TRUCK,37.7634783321,-122.41301975370001
2474,Gas Leak (Natural and LP Gases),ENGINE,37.7872771546,-122.4168251998
7284,Gas Leak (Natural and LP Gases),ENGINE,37.767809322199994,-122.44919570260001
8333,Gas Leak (Natural and LP Gases),CHIEF,37.7659837506,-122.4321519074
6318,Gas Leak (Natural and LP Gases),ENGINE,37.7181337896,-122.38548339319999
6797,Gas Leak (Natural and LP Gases),ENGINE,37.7634783321,-122.41301975370001
3406,Gas Leak (Natural and LP Gases),ENGINE,37.7138267353,-122.470388666
4040,Gas Leak (Natural and LP Gases),CHIEF,37.7535356524,-122.4102121458
6337,Gas Leak (Natural and LP Gases),ENGINE,37.7323423525,-122.3862803814
4036,Gas Leak (Natural and LP Gases),CHIEF,37.7936758447,-122.4255256608
1977,Gas Leak (Natural and LP Gases),TRUCK,37.773366013,-122.4501388865
8009,Gas Leak (Natural and LP Gases),ENGINE,37.765521954200004,-122.4109657515
130,Gas Leak (Natural and LP Gases),ENGINE,37.7618276409,-122.39833071780001
924,Gas Leak (Natural and LP Gases),ENGINE,37.737270888299996,-122.3982636647
7006,Gas Leak (Natural and LP Gases),ENGINE,37.7634783321,-122.41301975370001
1552,Gas Leak (Natural and LP Gases),TRUCK,37.8052602625,-122.4160538319
6395,Gas Leak (Natural and LP Gases),ENGINE,37.7274697355,-122.3712713849
6081,Gas Leak (Natural and LP Gases),ENGINE,37.8078921321,-122.4106850512
3219,Gas Leak (Natural and LP Gases),ENGINE,37.7799336919,-122.4286140223
1597,Gas Leak (Natural and LP Gases),ENGINE,37.8052602625,-122.4160538319
44,Gas Leak (Natural and LP Gases),ENGINE,37.7768495726,-122.4213512461
3288,Gas Leak (Natural and LP Gases),ENGINE,37.709838464099995,-122.4105602121
7951,Gas Leak (Natural and LP Gases),TRUCK,37.7659837506,-122.4321519074
6308,Gas Leak (Natural and LP Gases),ENGINE,37.7287668622,-122.3842187447
6356,Gas Leak (Natural and LP Gases),ENGINE,37.740240016,-122.3852816571
6134,Gas Leak (Natural and LP Gases),CHIEF,37.8078921321,-122.4106850512
7885,Gas Leak (Natural and LP Gases),CHIEF,37.7490658212,-122.3864279303
341,Gas Leak (Natural and LP Gases),ENGINE,37.7575453555,-122.4730003389
5858,Gas Leak (Natural and LP Gases),TRUCK,37.7323423525,-122.3862803814
7437,Gas Leak (Natural and LP Gases),CHIEF,37.7980627796,-122.4240584244
4178,Gas Leak (Natural and LP Gases),ENGINE,37.7535356524,-122.4102121458
475,Gas Leak (Natural and LP Gases),ENGINE,37.79009247,-122.4426337165
4335,HazMat,CHIEF,37.7773277635,-122.39308855969999
4622,HazMat,TRUCK,37.7773277635,-122.39308855969999
4912,HazMat,ENGINE,37.7773277635,-122.39308855969999
5303,Odor (Strange / Unknown),ENGINE,37.781145861300004,-122.4090260465
3844,Odor (Strange / Unknown),ENGINE,37.7825912218,-122.4578970144
6101,Odor (Strange / Unknown),ENGINE,37.7895796916,-122.4365067944
6199,Odor (Strange / Unknown),ENGINE,37.735597033400005,-122.40196664
1132,Odor (Strange / Unknown),ENGINE,37.7802922336,-122.4588642489
4794,Odor (Strange / Unknown),ENGINE,37.7843492694,-122.40930918069999
5274,Odor (Strange / Unknown),ENGINE,37.762099162199995,-122.4149986182
6269,Odor (Strange / Unknown),CHIEF,37.735597033400005,-122.40196664
6218,Odor (Strange / Unknown),CHIEF,37.735597033400005,-122.40196664
7419,Odor (Strange / Unknown),ENGINE,37.7356359706,-122.41846588969999
9593,Other,TRUCK,37.7525060662,-122.4140860324
3841,Other,CHIEF,37.762670709,-122.43518796229999
5867,Other,MEDIC,37.7654476103,-122.413105245
497,Other,MEDIC,37.7222980713,-122.4113031
5808,Other,TRUCK,37.7806558269,-122.4723122549
1620,Other,ENGINE,37.7978645381,-122.3967012743
529,Other,ENGINE,37.786973316,-122.425845943
8331,Other,CHIEF,37.7909350075,-122.41822349459999
3949,Other,ENGINE,37.754639684299995,-122.4310643478
3864,Other,MEDIC,37.762670709,-122.43518796229999
9301,Other,MEDIC,37.789433681300004,-122.406956987
3409,Other,MEDIC,37.762670709,-122.43518796229999
4642,Other,TRUCK,37.748178766,-122.4214039484
4509,Other,CHIEF,37.748178766,-122.4214039484
8389,Other,ENGINE,37.7562975557,-122.41780443
5967,Other,ENGINE,37.717223054,-122.39114994389999
3404,Other,CHIEF,37.762670709,-122.43518796229999
3866,Other,PRIVATE,37.762670709,-122.43518796229999
3106,Other,ENGINE,37.765658576599996,-122.42312798430001
1453,Other,TRUCK,37.722965647399995,-122.4268963117
3837,Other,ENGINE,37.779989262,-122.4073764639
7475,Other,TRUCK,37.7449962177,-122.47526738399999
1506,Other,ENGINE,37.7978645381,-122.3967012743
4543,Other,ENGINE,37.748520075500004,-122.4202472965
6647,Other,ENGINE,37.7565080013,-122.4065410143
4484,Other,ENGINE,37.7526000562,-122.49241358969999
1469,Other,ENGINE,37.782646026100004,-122.4435809875
437,Other,CHIEF,37.7222980713,-122.4113031
9358,Other,MEDIC,37.767191551399996,-122.4312217973
2387,Other,CHIEF,37.8034584963,-122.4267287189
420,Other,ENGINE,37.7360599451,-122.4923318651
2347,Other,SUPPORT,37.8096730189,-122.3663347876
6054,Other,ENGINE,37.784797983800004,-122.4396638674
8007,Other,MEDIC,37.7272167299,-122.3823202789
8792,Other,MEDIC,37.765314687,-122.4288111324
9780,Other,MEDIC,37.7212774522,-122.40205647190001
972,Other,TRUCK,37.7113842185,-122.451205095
9125,Other,ENGINE,37.7504816108,-122.4057403976
2079,Other,ENGINE,37.8096730189,-122.3663347876
4339,Other,ENGINE,37.7570337297,-122.476758437
2472,Other,CHIEF,37.8096730189,-122.3663347876
8650,Other,ENGINE,37.7393186205,-122.4071392355
9763,Other,MEDIC,37.767191551399996,-122.4312217973
7705,Other,ENGINE,37.7593162035,-122.46698682639999
8509,Other,CHIEF,37.756363300100006,-122.4167121008
2175,Other,TRUCK,37.7872949466,-122.4032770657
2247,Other,CHIEF,37.748618984299995,-122.4259891093
5420,Other,TRUCK,37.7887683286,-122.4084300062
8634,Other,ENGINE,37.7888377779,-122.3894289418
2578,Other,CHIEF,37.7812721471,-122.4255493285
7191,Other,RESCUE CAPTAIN,37.763316597,-122.4582059886
6070,Other,MEDIC,37.7214606647,-122.39227941760001
7249,Other,CHIEF,37.7768945401,-122.4919580782
6931,Other,ENGINE,37.7659004011,-122.40558529540002
9737,Other,ENGINE,37.7556214465,-122.39576262700001
7616,Other,ENGINE,37.7746534767,-122.4051181973
5031,Other,TRUCK,37.7514730717,-122.3900869024
4905,Other,ENGINE,37.7797389056,-122.4071594892
7954,Other,ENGINE,37.766544577,-122.39506054600001
1956,Other,SUPPORT,37.8096730189,-122.3663347876
921,Other,TRUCK,37.7709133373,-122.4203049943
9037,Other,TRUCK,37.8105207225,-122.3651382723
2614,Other,TRUCK,37.765658576599996,-122.42312798430001
3640,Other,CHIEF,37.762670709,-122.43518796229999
4962,Other,ENGINE,37.7866624955,-122.4291682157
6561,Other,ENGINE,37.7304484884,-122.49497714790002
2022,Other,SUPPORT,37.8096730189,-122.3663347876
2605,Other,MEDIC,37.7864795346,-122.404724351
911,Other,MEDIC,37.7709133373,-122.4203049943
910,Other,SUPPORT,37.7978645381,-122.3967012743
3310,Other,RESCUE CAPTAIN,37.762670709,-122.43518796229999
3666,Other,TRUCK,37.735803254400004,-122.3834254466
1213,Other,ENGINE,37.735927989299995,-122.42315187450001
2922,Other,ENGINE,37.7570337297,-122.476758437
7670,Other,TRUCK,37.790500514099996,-122.41736641770001
9825,Other,ENGINE,37.7890446855,-122.4245911001
2052,Other,ENGINE,37.8096730189,-122.3663347876
6553,Other,MEDIC,37.7654476103,-122.413105245
6287,Other,ENGINE,37.777299856,-122.4196935657
2055,Other,MEDIC,37.7828949768,-122.4533422589
9807,Other,TRUCK,37.7853856654,-122.4082488821
1963,Other,ENGINE,37.8034584963,-122.4267287189
4105,Other,CHIEF,37.754639684299995,-122.4310643478
9727,Other,TRUCK,37.7667838884,-122.4322284571
7862,Other,TRUCK,37.7746534767,-122.4051181973
8096,Other,ENGINE,37.7909350075,-122.41822349459999
8567,Other,ENGINE,37.786912692399994,-122.4097562235
1807,Other,TRUCK,37.8096730189,-122.3663347876
1089,Other,MEDIC,37.7978645381,-122.3967012743
2123,Other,MEDIC,37.8096730189,-122.3663347876
1391,Other,ENGINE,37.7651317205,-122.4075460043
27,Other,MEDIC,37.7222980713,-122.4113031
7729,Other,TRUCK,37.7909350075,-122.41822349459999
4402,Other,PRIVATE,37.7691828621,-122.4038882558
8032,Other,CHIEF,37.766544577,-122.39506054600001
2301,Other,RESCUE CAPTAIN,37.8096730189,-122.3663347876
3990,Other,TRUCK,37.779989262,-122.4073764639
8895,Other,TRUCK,37.7766301642,-122.4253995075
6727,Other,ENGINE,37.7853120674,-122.42636663639999
9655,Other,TRUCK,37.7350921935,-122.4489599254
6227,Other,TRUCK,37.773108807,-122.4230048171
3576,Other,RESCUE SQUAD,37.762670709,-122.43518796229999
8113,Other,TRUCK,37.7447975597,-122.4643238201
7750,Other,TRUCK,37.766544577,-122.39506054600001
8921,Other,MEDIC,37.8105207225,-122.3651382723
7290,Other,ENGINE,37.7768945401,-122.4919580782
2130,Other,MEDIC,37.7828949768,-122.4533422589
3806,Other,MEDIC,37.754639684299995,-122.4310643478
1809,Other,CHIEF,37.7828949768,-122.4533422589
3378,Other,ENGINE,37.762670709,-122.43518796229999
6984,Other,ENGINE,37.7387909762,-122.46794866270001
1324,Other,CHIEF,37.7709133373,-122.4203049943
6746,Other,TRUCK,37.7768945401,-122.4919580782
5400,Other,ENGINE,37.7156986909,-122.4009202841
2270,Other,ENGINE,37.8096730189,-122.3663347876
1353,Other,ENGINE,37.759084056599995,-122.411579841
7172,Other,ENGINE,37.732420827,-122.37909169209999
3479,Other,TRUCK,37.762670709,-122.43518796229999
1332,Other,ENGINE,37.7709133373,-122.4203049943
9990,Other,ENGINE,37.767191551399996,-122.4312217973
2454,Other,RESCUE CAPTAIN,37.8096730189,-122.3663347876
9192,Other,MEDIC,37.802297522399996,-122.4433868441
3754,Other,CHIEF,37.762670709,-122.43518796229999
1826,Other,RESCUE SQUAD,37.8096730189,-122.3663347876
6957,Other,ENGINE,37.7765128155,-122.4149666857
8575,Other,ENGINE,37.7499739333,-122.4896064323
2442,Other,SUPPORT,37.7414320446,-122.393932009
4030,Other,MEDIC,37.762670709,-122.43518796229999
5979,Other,ENGINE,37.7309918254,-122.4839775034
1523,Outside Fire,ENGINE,37.7613779787,-122.440943943
4273,Outside Fire,ENGINE,37.7602716874,-122.5093816205
2771,Outside Fire,ENGINE,37.7868275259,-122.4199279492
8881,Outside Fire,TRUCK,37.7396807758,-122.40888307610001
8383,Outside Fire,ENGINE,37.7406418871,-122.42308990709999
1093,Outside Fire,INVESTIGATION,37.7522044421,-122.41901754370001
2601,Outside Fire,ENGINE,37.7435579317,-122.38935120100001
